1059k  61.185.200.196:10000
1039k  1.83.123.172:8888
1010k  36.47.83.204:8010
959k  36.47.83.204:8008
953k  36.47.83.204:8014
953k  36.47.83.204:8011
925k  219.145.19.30:5554
918k  219.145.19.29:5555
899k  36.47.83.204:8022
899k  36.47.83.204:8021
888k  36.47.83.204:8013
874k  36.47.83.204:8020
870k  117.32.84.78:8025
864k  117.32.84.78:8020
855k  219.145.19.30:5555
854k  219.145.19.29:5554
849k  117.32.84.78:8011
847k  117.32.84.95:8014
845k  117.32.84.78:8014
835k  117.32.84.78:8010
830k  117.32.84.95:8013
828k  117.32.84.95:8010
825k  117.32.84.95:8008
820k  117.32.84.78:8008
812k  117.32.84.95:8011
784k  117.32.84.78:8013
721k  117.32.84.95:8025
545k  1.85.226.121:8888
466k  117.32.84.95:8021
415k  117.32.84.78:8021
357k  117.32.84.95:8020
214k  117.32.84.95:8022
