1011k  183.188.28.71:6001
997k  183.188.28.71:6000
989k  171.124.242.86:8005
980k  171.117.189.199:8082
946k  171.117.73.99:8084
941k  61.134.200.65:8085
932k  171.117.73.99:8085
930k  171.117.73.99:8083
891k  171.124.3.251:8083
884k  61.134.200.65:8084
865k  61.134.200.65:8082
846k  171.124.3.251:8082
835k  61.134.200.65:8083
807k  171.124.3.251:8085
799k  171.117.73.99:8082
783k  171.124.3.251:8084
427k  171.118.123.101:8085
265k  171.118.123.101:8083
110k  171.118.123.101:8084
108k  171.118.123.101:8082
